Extraction result 青叶灵异事务所 156883 31.4 4928938 0.3475 0.4972 0.008108008951828888
瘦子, 他, 317, 75, 4290, 195, 1159
吴灵, 她, 200, 257, 4089, 4014, 1380
叶青, 他, 371, 15, 3612, 4087, 1310
女人, 她, 110, 481, 3328, 0, 440
古陌, 他, 343, 32, 3084, 1014, 924
男人, 他, 397, 57, 2946, 0, 406
陈晓丘, 她, 126, 182, 2904, 3075, 1111
郭玉洁, 她, 89, 202, 2296, 2415, 1133
胖子, 他, 123, 36, 2024, 89, 419
妹妹, 她, 18, 131, 1832, 0, 335
女孩, 她, 40, 360, 1831, 0, 196
南宫耀, 他, 145, 17, 1746, 1414, 609
陈逸涵, 他, 128, 21, 1407, 1507, 650
刘淼, 他, 153, 18, 1394, 1469, 699
警察, 他, 114, 51, 1259, 0, 59
小孩, 他, 121, 45, 1233, 0, 72
两人, 他, 61, 24, 1108, 0, 57
视频, 他, 57, 32, 1108, 0, 24
莫晓玲, 她, 36, 200, 1077, 1184, 568
南天, 他, 114, 10, 1057, 51, 217
画面, 他, 55, 26, 1052, 0, 24
镜头, 他, 63, 36, 1040, 0, 41
女鬼, 她, 28, 100, 1032, 1, 59
其他人, 他, 59, 16, 948, 0, 12
吕巧岚, 她, 14, 77, 838, 907, 440
韩赟, 他, 118, 13, 777, 836, 474
妈妈, 她, 22, 51, 733, 0, 140
老太太, 她, 16, 85, 671, 0, 132
黑姐, 她, 24, 68, 618, 34, 142
金珊珊, 她, 22, 97, 600, 661, 397
老人, 他, 79, 8, 587, 0, 74
那个人, 他, 88, 16, 585, 0, 42
老头, 他, 50, 12, 549, 0, 137
青叶的人, 他, 30, 3, 544, 0, 27
爸爸, 他, 18, 11, 526, 0, 43
医生, 他？, 26, 19, 522, 0, 38
年轻人, 他, 68, 5, 500, 0, 59
郁川峰, 他, 88, 9, 496, 323, 207
司机, 他, 58, 5, 452, 0, 87
毛主任, 她, 19, 39, 450, 48, 384
女生, 她, 7, 35, 424, 0, 42
秦疏, 他, 40, 4, 398, 142, 179
恶鬼, 她, 16, 30, 393, 0, 11
玄青真人, 他, 49, 0, 388, 0, 260
对方, 他, 27, 8, 387, 0, 28
武晨曦, 她, 5, 93, 385, 403, 263
薛静悦, 她, 20, 38, 381, 396, 244
李星方, 他, 56, 10, 380, 417, 298
男孩, 他, 33, 6, 374, 0, 51
老领导, 他, 53, 5, 369, 0, 67
叶正一, 他, 53, 2, 368, 240, 239
